locus_tag,gene,producto,inicio,fin,longitud_nt,longitud_aa,strand,protein_id
b0063,araB,ribulokinase,68347,70048,1701,567,-,AAC73174.1
b0064,araC,DNA-binding transcriptional dual regulator AraC,70386,71265,879,293,+,AAC73175.1
b0065,yabI,DedA family protein YabI,71350,72115,765,255,+,AAC73176.1
b0066,thiQ,thiamine ABC transporter ATP binding subunit,72228,72927,699,233,-,AAC73177.1
b0067,thiP,thiamine ABC transporter membrane subunit,72910,74521,1611,537,-,AAC73178.1
b0068,thiB,thiamine ABC transporter periplasmic binding protein,74496,75480,984,328,-,AAC73179.1
b0069,sgrR,DNA-binding transcriptional dual regulator SgrR,75643,77299,1656,552,-,AAC73180.1
b4662,sgrT,PtsG glucose transporter inhibitor,77387,77519,132,44,+,ACO59989.1
b0070,setA,sugar exporter SetA,77620,78799,1179,393,+,AAT48123.1
b0071,leuD,3-isopropylmalate dehydratase subunit LeuD,78847,79453,606,202,-,AAC73182.1
b0072,leuC,3-isopropylmalate dehydratase subunit LeuC,79463,80864,1401,467,-,AAC73183.1
b0073,leuB,3-isopropylmalate dehydrogenase,80866,81958,1092,364,-,AAC73184.2
b0074,leuA,2-isopropylmalate synthase,81957,83529,1572,524,-,AAC73185.1
b0075,leuL,leu operon leader peptide,83621,83708,87,29,-,AAC73186.1
b0076,leuO,DNA-binding transcriptional dual regulator LeuO,84367,85312,945,315,+,AAC73187.2
b4726,yabR,protein YabR,85466,85511,45,15,-,AYC08164.1
b0077,ilvI,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",85629,87354,1725,575,+,AAC73188.2
b0078,ilvH,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",87356,87848,492,164,+,AAC73189.1
b0080,cra,DNA-binding transcriptional regulator Cra,88027,89032,1005,335,+,AAC73191.1
b0081,mraZ,DNA-binding transcriptional repressor MraZ,89633,90092,459,153,+,AAC73192.1
b0082,rsmH,16S rRNA m(4)C1402 methyltransferase,90093,91035,942,314,+,AAC73193.1
b0083,ftsL,cell division protein FtsL,91031,91397,366,122,+,AAC73194.1
b0084,ftsI,peptidoglycan DD-transpeptidase FtsI,91412,93179,1767,589,+,AAC73195.1
b0085,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",93165,94653,1488,496,+,AAC73196.1
b0086,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,94649,96008,1359,453,+,AAC73197.1
b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,96001,97084,1083,361,+,AAC73198.1
b0088,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,97086,98403,1317,439,+,AAC73199.1
b0089,ftsW,peptidoglycan glycosyltransferase FtsW,98402,99647,1245,415,+,AAC73200.1
b0090,murG,N-acetylglucosaminyl transferase,99643,100711,1068,356,+,AAC73201.1
b0091,murC,UDP-N-acetylmuramate--L-alanine ligase,100764,102240,1476,492,+,AAC73202.1
b0092,ddlB,D-alanine--D-alanine ligase B,102232,103153,921,307,+,AAC73203.1
b0093,ftsQ,cell division protein FtsQ,103154,103985,831,277,+,AAC73204.1
b0094,ftsA,cell division protein FtsA,103981,105244,1263,421,+,AAC73205.1
b0095,ftsZ,cell division protein FtsZ,105304,106456,1152,384,+,AAC73206.1
b0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,106556,107474,918,306,+,AAC73207.1
b0097,secM,SecA translation regulator,107704,108217,513,171,+,AAC73208.2
b0098,secA,protein translocation ATPase,108278,110984,2706,902,+,AAC73209.1
b0099,mutT,8-oxo-dGTP diphosphatase,111043,111433,390,130,+,AAC73210.1
b0101,yacG,DNA gyrase inhibitor YacG,111648,111846,198,66,-,AAC73212.1
b0102,zapD,cell division factor ZapD,111855,112599,744,248,-,AAC73213.1
b0103,coaE,dephospho-CoA kinase,112598,113219,621,207,-,AAC73214.1
b4727,yacM,protein YacM,113243,113288,45,15,+,AYC08165.1
b0104,guaC,GMP reductase,113443,114487,1044,348,+,AAC73215.1
b0106,hofC,inner membrane protein HofC,114521,115724,1203,401,-,AAC73217.1
b0107,hofB,T2SSE family protein,115713,117099,1386,462,-,AAC73218.1
b0108,ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,117108,117549,441,147,-,AAC73219.1
b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating),117751,118645,894,298,-,AAC73220.1
b0110,ampD,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",118732,119284,552,184,+,AAC73221.1
b0111,ampE,protein AmpE,119280,120135,855,285,+,AAC73222.1
b0112,aroP,aromatic amino acid:H(+) symporter AroP,120177,121551,1374,458,-,AAC73223.1
b0113,pdhR,DNA-binding transcriptional dual regulator PdhR,122091,122856,765,255,+,AAC73224.1
b0114,aceE,pyruvate dehydrogenase E1 component,123016,125680,2664,888,+,AAC73225.1
b0115,aceF,pyruvate dehydrogenase E2 subunit,125694,127587,1893,631,+,AAC73226.1
b0116,lpd,lipoamide dehydrogenase,127911,129336,1425,475,+,AAC73227.1
b0117,yacH,DUF3300 domain-containing protein YacH,129406,131260,1854,618,-,AAC73228.1
b0118,acnB,AcnB,131614,134212,2598,866,+,AAC73229.1
b0119,yacL,PF06062 family protein YacL,134387,134750,363,121,+,AAC73230.2
b0120,speD,S-adenosylmethionine decarboxylase proenzyme,134787,135582,795,265,-,AAC73231.1
b0121,speE,spermidine synthase,135597,136464,867,289,-,AAC73232.1
b0122,yacC,putative lipoprotein YacC,136569,136917,348,116,-,AAC73233.2
b0123,cueO,multicopper oxidase CueO,137082,138633,1551,517,+,AAC73234.1
b0124,gcd,quinoprotein glucose dehydrogenase,138834,141225,2391,797,-,AAC73235.1
b0125,hpt,hypoxanthine phosphoribosyltransferase,141430,141967,537,179,+,AAC73236.2
b0126,can,carbonic anhydrase 2,142007,142670,663,221,-,AAC73237.1
b0127,yadG,putative ABC transporter ATP-binding protein YadG,142778,143705,927,309,+,AAC73238.1
b0128,yadH,putative ABC transporter membrane subunit YadH,143701,144472,771,257,+,AAC73239.1
b0129,yadI,putative PTS enzyme IIA component YadI,144576,145017,441,147,+,AAC73240.1
b0130,yadE,putative polysaccharide deacetylase lipoprotein YadE,145080,146310,1230,410,+,AAC73241.1
b0131,panD,aspartate 1-decarboxylase proenzyme,146313,146694,381,127,-,AAC73242.1
b0132,rpnC,recombination-promoting nuclease RpnC,146967,147870,903,301,+,AAC73243.1
b0133,panC,pantothenate synthetase,147943,148795,852,284,-,AAC73244.1
b0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,148806,149601,795,265,-,AAC73245.1
b0135,yadC,fimbrial tip-adhesin YadC,149714,150953,1239,413,-,AAC73246.1
b0136,yadK,putative fimbrial protein YadK,151002,151599,597,199,-,AAC73247.1
b0137,yadL,putative fimbrial protein YadL,151625,152231,606,202,-,AAC73248.1
b0138,yadM,putative fimbrial protein YadM,152242,152812,570,190,-,AAC73249.2
b0139,htrE,putative fimbrial usher protein HtrE,152828,155426,2598,866,-,AAC73250.1
b0140,yadV,putative fimbrial chaperone YadV,155460,156201,741,247,-,AAC73251.1
b0141,yadN,putative fimbrial protein YadN,156298,156883,585,195,-,AAC73252.1
b0142,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,157252,157732,480,160,-,AAC73253.1
b0143,pcnB,poly(A) polymerase I,157728,159126,1398,466,-,AAC73254.2
b0144,gluQ,glutamyl-Q tRNA(Asp) synthetase,159185,160112,927,309,-,AAC73255.3
b0145,dksA,RNA polymerase-binding transcription factor DksA,160148,160604,456,152,-,AAC73256.1
b0146,sfsA,sugar fermentation stimulation protein A,160781,161486,705,235,-,AAC73257.1
b0147,thpR,"RNA 2',3'-cyclic phosphodiesterase",161500,162031,531,177,-,AAC73258.2
b0148,hrpB,RNA-dependent NTPase HrpB,162104,164534,2430,810,+,AAC73259.2
b0149,mrcB,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,164729,167264,2535,845,+,AAC73260.1
b0149,mrcB,PBP-1Bgamma,164864,167264,2400,800,+,QNV50512.1
b0150,fhuA,ferrichrome outer membrane transporter/phage receptor,167483,169727,2244,748,+,AAC73261.1
b0151,fhuC,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,169777,170575,798,266,+,AAC73262.1
b0152,fhuD,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,170574,171465,891,297,+,AAC73263.1
b0153,fhuB,Fe(3(+)) hydroxamate ABC transporter membrane subunit,171461,173444,1983,661,+,AAC73264.1
b0154,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",173601,174882,1281,427,-,AAC73265.1
b4765,yadX,protein YadX,175047,175095,48,16,+,QNV50518.1
b0155,clcA,chloride:H(+) antiporter ClcA,175106,176528,1422,474,+,AAC73266.1
b4728,yadW,protein YadW,176551,176617,66,22,+,AYC08166.1
b0156,erpA,iron-sulfur cluster insertion protein ErpA,176609,176954,345,115,+,AAC73267.1
b0157,yadS,PF03458 family protein YadS,177000,177624,624,208,-,AAC73268.1
b0158,btuF,vitamin B12 ABC transporter periplasmic binding protein,177661,178462,801,267,-,AAC73269.1
b0159,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,178454,179153,699,233,-,AAC73270.1
b0160,dgt,dGTP triphosphohydrolase,179236,180754,1518,506,+,AAC73271.1
b0161,degP,periplasmic serine endoprotease DegP,180883,182308,1425,475,+,AAC73272.1
b0162,cdaR,DNA-binding transcriptional activator CdaR,182462,183620,1158,386,+,AAC73273.2
b0163,yaeH,DUF3461 domain-containing protein YaeH,183708,184095,387,129,-,AAC73274.1
b0164,yaeI,phosphodiesterase YaeI,184256,185069,813,271,-,AAC73275.2
b0166,dapD,tetrahydrodipicolinate succinylase,185122,185947,825,275,-,AAC73277.1
b0167,glnD,protein-PII uridylyltransferase/uridylyl-removing enzyme,185977,188650,2673,891,-,AAC73278.1
b0168,map,methionine aminopeptidase,188711,189506,795,265,-,AAC73279.1
b0169,rpsB,30S ribosomal subunit protein S2,189873,190599,726,242,+,AAC73280.1
b0170,tsf,protein chain elongation factor EF-Ts,190856,191708,852,284,+,AAC73281.1
b0171,pyrH,UMP kinase,191854,192580,726,242,+,AAC73282.1
b0172,frr,ribosome-recycling factor,192871,193429,558,186,+,AAC73283.1
b0173,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,193520,194717,1197,399,+,AAC73284.1
b0174,ispU,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",194902,195664,762,254,+,AAC73285.1
b0175,cdsA,CDP-diglyceride synthetase,195676,196534,858,286,+,AAC73286.2
b0176,rseP,intramembrane zinc metalloprotease RseP,196545,197898,1353,451,+,AAC73287.1
b0177,bamA,outer membrane protein assembly factor BamA,197927,200360,2433,811,+,AAC73288.1
b0178,skp,periplasmic chaperone Skp,200481,200967,486,162,+,AAC73289.1
b0179,lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,200970,201996,1026,342,+,AAC73290.1
b0180,fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,202100,202556,456,152,+,AAC73291.1
b0181,lpxA,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,202559,203348,789,263,+,AAC73292.1
b0182,lpxB,lipid A disaccharide synthase,203347,204496,1149,383,+,AAC73293.1
b0183,rnhB,RNase HII,204492,205089,597,199,+,AAC73294.1
b0184,dnaE,DNA polymerase III subunit alpha,205125,208608,3483,1161,+,AAC73295.1
b0185,accA,acetyl-CoA carboxyltransferase subunit alpha,208620,209580,960,320,+,AAC73296.1
b0186,ldcC,lysine decarboxylase 2,209678,211820,2142,714,+,AAC73297.1
b0187,yaeR,VOC domain-containing protein YaeR,211876,212266,390,130,+,AAC73298.2
b0188,tilS,tRNA(Ile)-lysidine synthetase,212330,213629,1299,433,+,AAC73299.1
b0189,rof,modulator of Rho-dependent transcription termination,213677,213932,255,85,-,AAC73300.2
b4406,yaeP,PF06786 family protein YaeP,213924,214125,201,67,-,AAT48124.1
b0190,yaeQ,uncharacterized protein YaeQ,214290,214836,546,182,+,AAC73301.1
b0191,arfB,"peptidyl-tRNA hydrolase, ribosome rescue factor",214832,215255,423,141,+,AAC73302.1
b0192,nlpE,sensor lipoprotein NlpE,215268,215979,711,237,+,AAC73303.1
b0193,yaeF,peptidase C92 family protein YaeF,216178,217003,825,275,-,AAC73304.2
b0194,proS,proline--tRNA ligase,217056,218775,1719,573,-,AAC73305.1
b0195,trmO,tRNA m(6)t(6)A37 methyltransferase,218886,219594,708,236,-,AAC73306.1
b0196,rcsF,sensor lipoprotein RcsF,219590,219995,405,135,-,AAC73307.1
b0197,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,220112,220928,816,272,-,AAC73308.1
b0198,metI,L-methionine/D-methionine ABC transporter membrane subunit,220967,221621,654,218,-,AAC73309.1
b0199,metN,L-methionine/D-methionine ABC transporter ATP binding subunit,221613,222645,1032,344,-,AAC73310.1
b0200,gmhB,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",222832,223408,576,192,+,AAC73311.1
b0207,dkgB,methylglyoxal reductase DkgB,229166,229970,804,268,+,AAC73312.1
b0208,yafC,DNA-binding transcriptional regulator YafC,229966,230881,915,305,-,AAC73313.1
b0209,yafD,endonuclease/exonuclease/phosphatase domain-containing protein YafD,231121,231922,801,267,+,AAC73314.1
b0210,yafE,putative S-adenosylmethionine-dependent methyltransferase,231925,232549,624,208,+,AAC73315.1
b0211,mltD,membrane-bound lytic murein transglycosylase D,232596,233955,1359,453,-,AAC73316.1
b0212,gloB,hydroxyacylglutathione hydrolase GloB,234026,234782,756,252,-,AAC73317.1
b4815,ykfO,protein YkfO,234287,234320,33,11,+,UMR55111.1
b0213,yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,234815,235538,723,241,+,AAC73318.2
b0214,rnhA,ribonuclease HI,235534,236002,468,156,-,AAC73319.1
b0215,dnaQ,DNA polymerase III subunit epsilon,236066,236798,732,244,+,AAC73320.1
b0217,yafT,lipoprotein YafT,237334,238120,786,262,+,AAC73321.1
b4586,ykfM,uncharacterized protein YkfM,238256,238736,480,160,-,ABP93434.1
b0219,yafV,2-oxoglutaramate amidase,239418,240189,771,257,-,AAC73323.1
b0220,ivy,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",240342,240816,474,158,+,AAC73324.1
b0221,fadE,acyl-CoA dehydrogenase,240858,243303,2445,815,-,AAC73325.2
b0222,gmhA,D-sedoheptulose 7-phosphate isomerase,243542,244121,579,193,+,AAC73326.1
b0223,yafJ,putative glutamine amidotransferase YafJ,244326,245094,768,256,+,AAC73327.1
b0224,dpaA,peptidoglycan meso-diaminopimelic acid protein amidase A,245064,245805,741,247,-,AAC73328.1
b0225,yafQ,ribosome-dependent mRNA interferase toxin YafQ,245960,246239,279,93,-,AAC73329.1
b0226,dinJ,antitoxin/DNA-binding transcriptional repressor DinJ,246241,246502,261,87,-,AAC73330.1
b0227,yafL,NlpC/P60 family protein YafL,246711,247461,750,250,+,AAC73331.1
b0228,rayT,REP-associated tyrosine transposase,247636,248134,498,166,+,AAC73332.1
b0231,dinB,DNA polymerase IV,250897,251953,1056,352,+,AAC73335.1
b0232,yafN,antitoxin YafN,252004,252298,294,98,+,AAC73336.1
b0233,yafO,ribosome-dependent mRNA interferase toxin YafO,252300,252699,399,133,+,AAC73337.1
b0234,yafP,putative N-acetyltransferase YafP,252708,253161,453,151,+,AAC73338.1
b0237,pepD,peptidase D,254258,255716,1458,486,-,AAC73341.1
b0238,gpt,xanthine-guanine phsophoribosyltransferase,255976,256435,459,153,+,AAC73342.1
b0239,frsA,fermentation-respiration switch protein,256526,257771,1245,415,+,AAC73343.1
b0240,crl,RNA polymerase holoenzyme assembly factor Crl,257828,259006,1178,392,+,NA
b4710,insB9,IS1 transposase B,257922,258426,504,168,-,AYC08167.1
b4709,insA9,IS1 repressor TnpA,258344,258620,276,92,-,AYC08168.1
b0241,phoE,outer membrane porin PhoE,259044,260100,1056,352,-,AAC73345.1
b0242,proB,glutamate 5-kinase,260387,261491,1104,368,+,AAC73346.1
b0243,proA,glutamate-5-semialdehyde dehydrogenase,261502,262756,1254,418,+,AAC73347.1
b0245,ykfI,toxin of the YkfI-YafW toxin-antitoxin system,263327,263669,342,114,-,AAC73348.1
b0246,yafW,antitoxin of the YkfI-YafW toxin-antitoxin pair,263689,264007,318,106,-,AAC73349.1
b4504,ykfH,DUF987 domain-containing protein YkfH,264025,264247,222,74,-,ABD18634.1
b0247,ykfG,RadC-like JAB domain-containing protein YkfG,264255,264732,477,159,-,AAC73350.1
b0248,yafX,protein YafX,264747,265206,459,153,-,AAC73351.1
b0249,ykfF,protein YkfF,265303,265543,240,80,-,AAC73352.1
b0250,ykfB,protein YkfB,265619,266087,468,156,-,AAC73353.1
b0251,yafY,inner membrane lipoprotein YafY,266109,266553,444,148,-,AAC73354.2
b0252,yafZ,DUF932 domain-containing protein YafZ,267183,268005,822,274,-,AAC73355.2
b0253,ykfA,putative GTP-binding protein YkfA,268096,268960,864,288,-,AAC73356.2
b0254,perR,putative transcriptional regulator PerR,269288,270182,894,298,-,AAC73357.1
b4587,insN,CP4-6 prophage; IS911A regulator fragment,270277,272190,1913,637,+,NA
b0256,insI1,IS30 transposase,270602,271754,1152,384,+,AAC73359.1
b0258,ykfC,PF00078 domain-containing protein YkfC,272846,273992,1146,382,+,AYC08169.1
b0259,insH1,IS5 transposase and trans-activator,274100,275081,981,327,-,AAC73362.2
b0260,mmuP,S-methyl-L-methionine transporter,275324,276728,1404,468,+,AAC73363.2
b0261,mmuM,homocysteine S-methyltransferase,276714,277647,933,311,+,AAC73364.1
b0262,afuC,ABC transporter ATP-binding protein AfuC,277755,278802,1047,349,-,AAC73365.2
b0264,insB2,IS1 protein InsB,279177,279681,504,168,-,AAC73367.1
b0265,insA2,IS1 protein InsA,279599,279875,276,92,-,AAC73368.1
b0266,yagB,orphan antitoxin YagB,280384,280735,351,117,-,AYC08170.1
b0267,yagA,integrase core domain-containing protein YagA,280828,281983,1155,385,-,AAC73370.1
b0268,yagE,2-dehydro-3-deoxygluconate aldolase,282277,283186,909,303,+,AAC73371.2
b0269,yagF,D-xylonate dehydratase,283200,285168,1968,656,+,AAC73372.1
b0270,yagG,putative D-xylonate transporter YagG,285394,286777,1383,461,+,AAC73373.1
b0271,yagH,putative xylosidase/arabinosidase,286788,288399,1611,537,+,AAC73374.1
b0272,xynR,DNA-binding transcriptional repressor XynR,288403,289162,759,253,-,AAC73375.1
b0273,argF,ornithine carbamoyltransferase ArgF,289300,290305,1005,335,-,AAC73376.1
b4766,argL,putative translational regulatory protein ArgL,290274,290370,96,32,-,QNV50519.1
b4688,ykgS,protein YkgS,290509,290638,129,43,+,AYC08171.1
b0274,insB3,IS1 protein InsB,290648,291152,504,168,-,AAC73377.1
b0275,insA3,IS1 protein InsA,291070,291346,276,92,-,AAC73378.1
b0276,yagJ,protein YagJ,291499,292231,732,244,+,AYC08172.1
b0277,yagK,uncharacterized protein YagK,292321,292948,627,209,-,AAC73380.1
b0278,yagL,resolvase-like catalytic domain-containing protein YagL,293219,293918,699,233,-,AAC73381.1
b0279,yagM,protein YagM,293944,294799,855,285,-,AAC73382.1
b4729,ykgV,protein YkgV,294917,295142,225,75,-,AYC08173.1
b0280,yagN,protein YagN,295138,295579,441,147,-,AAC73383.1
b0281,intF,putative phage integrase,295695,297096,1401,467,-,AAC73384.1
b0282,yagP,putative LysR family substrate binding domain-containing protein YagP,297380,297791,411,137,-,AYC08174.1
b0283,paoD,molybdenum cofactor insertion chaperone PaoD,297769,298726,957,319,-,AAC73386.1
b0284,paoC,"aldehyde dehydrogenase, molybdenum cofactor-binding subunit",298735,300934,2199,733,-,AAC73387.1
b0285,paoB,"aldehyde dehydrogenase, FAD-binding Fe-S subunit",300930,301887,957,319,-,AAC73388.1
b0286,paoA,"aldehyde dehydrogenase, Fe-S subunit",301883,302573,690,230,-,AAC73389.1
b0287,yagU,DUF1440 domain-containing inner membrane protein YagU,302990,303605,615,205,+,AAC73390.1
b0288,ykgJ,putative metal-chelating domain-containing protein YkgJ,303852,304182,330,110,-,AAC73391.1
b0289,ecpE,putative fimbrial chaperone EcpE,304494,305205,711,237,-,AAC73392.2
b0290,ecpD,fimbrial adhesin EcpD,305173,306817,1644,548,-,AAC73393.1
b0291,ecpC,putative fimbrial usher protein EcpC,306806,309332,2526,842,-,AAC73394.1
b0292,ecpB,putative fimbrial chaperone EcpB,309357,310026,669,223,-,AAC73395.1
b0293,ecpA,common pilus major subunit,310083,310671,588,196,-,AAC73396.1
b0294,matA,DNA-binding transcriptional dual regulator MatA,310745,311336,591,197,-,AAC73397.1
b0295,ykgL,uncharacterized protein YkgL,312111,312339,228,76,+,AAC73398.1
b4506,ykgO,50S ribosomal subunit protein L36B,312373,312514,141,47,-,ABD18636.1
b0296,ykgM,50S ribosomal subunit protein L31B,312513,312777,264,88,-,AAC73399.1
b4671,ykgR,putative membrane protein YkgR,313140,313242,102,34,-,ACO59990.1
b0298,insE1,IS3 element protein InsE,315290,315590,300,100,+,AAC73401.2
b0299,insF1,IS3 element protein InsF,315586,316453,867,289,+,AAC73402.1
b0301,rclC,DUF417 domain-containing inner membrane protein RclC,317725,318319,594,198,-,AAC73404.2
b0303,rclB,hypochlorite stress response protein RclB,318330,318567,237,79,-,AAC73406.2
b0304,rclA,cupric reductase RclA,318675,320001,1326,442,-,AAC73407.2
b0305,rclR,DNA-binding transcriptional activator RclR,320226,321081,855,285,+,AAC73408.1
b0306,ykgE,putative lactate utilization oxidoreductase YkgE,321607,322327,720,240,+,AAC73409.1
b0307,ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,322337,323765,1428,476,+,AAC73410.1
b0308,ykgG,DUF162 domain-containing lactate utilization protein YkgG,323757,324453,696,232,+,AAC73411.2
b0310,ykgH,uncharacterized protein YkgH,324695,325364,669,223,-,AAC73413.1
