tipo,inicio,fin,longitud,strand,producto,locus_tag,gc_content,protein_id
CDS,90093,91035,942,+,16S rRNA m(4)C1402 methyltransferase,b0082,55.20169851380042,AAC73193.1
CDS,91031,91397,366,+,cell division protein FtsL,b0083,50.27322404371585,AAC73194.1
CDS,91412,93179,1767,+,peptidoglycan DD-transpeptidase FtsI,b0084,53.98981324278438,AAC73195.1
CDS,93165,94653,1488,+,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",b0085,56.58602150537635,AAC73196.1
CDS,94649,96008,1359,+,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,b0086,55.114054451802794,AAC73197.1
CDS,96001,97084,1083,+,phospho-N-acetylmuramoyl-pentapeptide- transferase,b0087,53.37026777469991,AAC73198.1
CDS,97086,98403,1317,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,b0088,54.89749430523918,AAC73199.1
CDS,98402,99647,1245,+,peptidoglycan glycosyltransferase FtsW,b0089,53.01204819277109,AAC73200.1
CDS,99643,100711,1068,+,N-acetylglucosaminyl transferase,b0090,56.08614232209737,AAC73201.1
CDS,100764,102240,1476,+,UDP-N-acetylmuramate--L-alanine ligase,b0091,54.74254742547425,AAC73202.1
CDS,102232,103153,921,+,D-alanine--D-alanine ligase B,b0092,51.57437567861021,AAC73203.1
CDS,103154,103985,831,+,cell division protein FtsQ,b0093,53.309265944645,AAC73204.1
CDS,103981,105244,1263,+,cell division protein FtsA,b0094,52.09817893903404,AAC73205.1
CDS,105304,106456,1152,+,cell division protein FtsZ,b0095,54.166666666666664,AAC73206.1
CDS,106556,107474,918,+,UDP-3-O-acyl-N-acetylglucosamine deacetylase,b0096,51.089324618736384,AAC73207.1
CDS,107704,108217,513,+,SecA translation regulator,b0097,53.99610136452242,AAC73208.2
CDS,108278,110984,2706,+,protein translocation ATPase,b0098,52.40206947524021,AAC73209.1
CDS,111043,111433,390,+,8-oxo-dGTP diphosphatase,b0099,49.23076923076923,AAC73210.1
CDS,111648,111846,198,-,DNA gyrase inhibitor YacG,b0101,51.515151515151516,AAC73212.1
CDS,111855,112599,744,-,cell division factor ZapD,b0102,51.47849462365591,AAC73213.1
CDS,112598,113219,621,-,dephospho-CoA kinase,b0103,52.65700483091788,AAC73214.1
CDS,113243,113288,45,+,protein YacM,b4727,31.11111111111111,AYC08165.1
CDS,113443,114487,1044,+,GMP reductase,b0104,51.34099616858238,AAC73215.1
CDS,114521,115724,1203,-,inner membrane protein HofC,b0106,51.953449709060685,AAC73217.1
CDS,115713,117099,1386,-,T2SSE family protein,b0107,53.46320346320347,AAC73218.1
CDS,117108,117549,441,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,b0108,53.06122448979592,AAC73219.1
CDS,117751,118645,894,-,quinolinate phosphoribosyltransferase (decarboxylating),b0109,53.13199105145414,AAC73220.1
CDS,118732,119284,552,+,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",b0110,53.80434782608695,AAC73221.1
CDS,119280,120135,855,+,protein AmpE,b0111,52.046783625730995,AAC73222.1
CDS,120177,121551,1374,-,aromatic amino acid:H(+) symporter AroP,b0112,52.69286754002911,AAC73223.1
CDS,122091,122856,765,+,DNA-binding transcriptional dual regulator PdhR,b0113,55.81699346405229,AAC73224.1
CDS,123016,125680,2664,+,pyruvate dehydrogenase E1 component,b0114,53.04054054054054,AAC73225.1
CDS,125694,127587,1893,+,pyruvate dehydrogenase E2 subunit,b0115,54.67511885895404,AAC73226.1
CDS,127911,129336,1425,+,lipoamide dehydrogenase,b0116,53.05263157894737,AAC73227.1
CDS,129406,131260,1854,-,DUF3300 domain-containing protein YacH,b0117,53.883495145631066,AAC73228.1
CDS,131614,134212,2598,+,AcnB,b0118,55.8891454965358,AAC73229.1
CDS,134387,134750,363,+,PF06062 family protein YacL,b0119,52.066115702479344,AAC73230.2
CDS,134787,135582,795,-,S-adenosylmethionine decarboxylase proenzyme,b0120,46.16352201257862,AAC73231.1
CDS,135597,136464,867,-,spermidine synthase,b0121,50.74971164936562,AAC73232.1
CDS,136569,136917,348,-,putative lipoprotein YacC,b0122,50.0,AAC73233.2
CDS,137082,138633,1551,+,multicopper oxidase CueO,b0123,54.67440361057382,AAC73234.1
CDS,138834,141225,2391,-,quinoprotein glucose dehydrogenase,b0124,55.41614387285655,AAC73235.1
CDS,141430,141967,537,+,hypoxanthine phosphoribosyltransferase,b0125,50.65176908752328,AAC73236.2
CDS,142007,142670,663,-,carbonic anhydrase 2,b0126,50.678733031674206,AAC73237.1
CDS,142778,143705,927,+,putative ABC transporter ATP-binding protein YadG,b0127,49.622437971952536,AAC73238.1
CDS,143701,144472,771,+,putative ABC transporter membrane subunit YadH,b0128,50.713359273670555,AAC73239.1
CDS,144576,145017,441,+,putative PTS enzyme IIA component YadI,b0129,49.2063492063492,AAC73240.1
CDS,145080,146310,1230,+,putative polysaccharide deacetylase lipoprotein YadE,b0130,49.51219512195122,AAC73241.1
CDS,146313,146694,381,-,aspartate 1-decarboxylase proenzyme,b0131,52.493438320209975,AAC73242.1
CDS,146967,147870,903,+,recombination-promoting nuclease RpnC,b0132,48.837209302325576,AAC73243.1
CDS,147943,148795,852,-,pantothenate synthetase,b0133,52.69953051643193,AAC73244.1
CDS,148806,149601,795,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134,54.59119496855346,AAC73245.1
CDS,149714,150953,1239,-,fimbrial tip-adhesin YadC,b0135,40.35512510088781,AAC73246.1
CDS,151002,151599,597,-,putative fimbrial protein YadK,b0136,41.37353433835846,AAC73247.1
CDS,151625,152231,606,-,putative fimbrial protein YadL,b0137,42.57425742574257,AAC73248.1
CDS,152242,152812,570,-,putative fimbrial protein YadM,b0138,42.80701754385965,AAC73249.2
CDS,152828,155426,2598,-,putative fimbrial usher protein HtrE,b0139,43.34103156274057,AAC73250.1
CDS,155460,156201,741,-,putative fimbrial chaperone YadV,b0140,44.39946018893387,AAC73251.1
CDS,156298,156883,585,-,putative fimbrial protein YadN,b0141,44.78632478632479,AAC73252.1
CDS,157252,157732,480,-,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,b0142,50.0,AAC73253.1
CDS,157728,159126,1398,-,poly(A) polymerase I,b0143,55.86552217453505,AAC73254.2
CDS,159185,160112,927,-,glutamyl-Q tRNA(Asp) synthetase,b0144,53.61380798274003,AAC73255.3
CDS,160148,160604,456,-,RNA polymerase-binding transcription factor DksA,b0145,52.63157894736842,AAC73256.1
CDS,160781,161486,705,-,sugar fermentation stimulation protein A,b0146,49.361702127659576,AAC73257.1
CDS,161500,162031,531,-,"RNA 2',3'-cyclic phosphodiesterase",b0147,55.932203389830505,AAC73258.2
CDS,162104,164534,2430,+,RNA-dependent NTPase HrpB,b0148,56.5843621399177,AAC73259.2
CDS,164729,167264,2535,+,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,b0149,55.14792899408284,AAC73260.1
CDS,164864,167264,2400,+,PBP-1Bgamma,b0149,55.375,QNV50512.1
CDS,167483,169727,2244,+,ferrichrome outer membrane transporter/phage receptor,b0150,51.247771836007125,AAC73261.1
CDS,169777,170575,798,+,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,b0151,56.89223057644111,AAC73262.1
CDS,170574,171465,891,+,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,b0152,54.65768799102132,AAC73263.1
CDS,171461,173444,1983,+,Fe(3(+)) hydroxamate ABC transporter membrane subunit,b0153,59.75794251134644,AAC73264.1
CDS,173601,174882,1281,-,"glutamate-1-semialdehyde 2,1-aminomutase",b0154,55.503512880562056,AAC73265.1
CDS,175047,175095,48,+,protein YadX,b4765,37.5,QNV50518.1
CDS,175106,176528,1422,+,chloride:H(+) antiporter ClcA,b0155,53.867791842475384,AAC73266.1
CDS,176551,176617,66,+,protein YadW,b4728,39.39393939393939,AYC08166.1
CDS,176609,176954,345,+,iron-sulfur cluster insertion protein ErpA,b0156,50.72463768115942,AAC73267.1
CDS,177000,177624,624,-,PF03458 family protein YadS,b0157,53.68589743589743,AAC73268.1
CDS,177661,178462,801,-,vitamin B12 ABC transporter periplasmic binding protein,b0158,52.9338327091136,AAC73269.1
CDS,178454,179153,699,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,b0159,52.36051502145923,AAC73270.1
CDS,179236,180754,1518,+,dGTP triphosphohydrolase,b0160,47.95783926218709,AAC73271.1
CDS,180883,182308,1425,+,periplasmic serine endoprotease DegP,b0161,53.964912280701746,AAC73272.1
CDS,182462,183620,1158,+,DNA-binding transcriptional activator CdaR,b0162,52.84974093264248,AAC73273.2
CDS,183708,184095,387,-,DUF3461 domain-containing protein YaeH,b0163,44.44444444444444,AAC73274.1
CDS,184256,185069,813,-,phosphodiesterase YaeI,b0164,51.41451414514145,AAC73275.2
CDS,185122,185947,825,-,tetrahydrodipicolinate succinylase,b0166,53.090909090909086,AAC73277.1
CDS,185977,188650,2673,-,protein-PII uridylyltransferase/uridylyl-removing enzyme,b0167,53.94687616909839,AAC73278.1
CDS,188711,189506,795,-,methionine aminopeptidase,b0168,50.44025157232704,AAC73279.1
CDS,189873,190599,726,+,30S ribosomal subunit protein S2,b0169,51.37741046831956,AAC73280.1
CDS,190856,191708,852,+,protein chain elongation factor EF-Ts,b0170,49.88262910798122,AAC73281.1
CDS,191854,192580,726,+,UMP kinase,b0171,52.75482093663911,AAC73282.1
CDS,192871,193429,558,+,ribosome-recycling factor,b0172,50.89605734767025,AAC73283.1
CDS,193520,194717,1197,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,b0173,52.63157894736842,AAC73284.1
CDS,194902,195664,762,+,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",b0174,50.0,AAC73285.1
CDS,195676,196534,858,+,CDP-diglyceride synthetase,b0175,50.815850815850816,AAC73286.2
CDS,196545,197898,1353,+,intramembrane zinc metalloprotease RseP,b0176,50.92387287509239,AAC73287.1
CDS,197927,200360,2433,+,outer membrane protein assembly factor BamA,b0177,50.67817509247842,AAC73288.1
CDS,200481,200967,486,+,periplasmic chaperone Skp,b0178,50.20576131687243,AAC73289.1
CDS,200970,201996,1026,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,b0179,52.826510721247566,AAC73290.1
CDS,202100,202556,456,+,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,b0180,50.43859649122807,AAC73291.1
CDS,202559,203348,789,+,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,b0181,53.10519645120405,AAC73292.1
CDS,203347,204496,1149,+,lipid A disaccharide synthase,b0182,53.78590078328982,AAC73293.1
CDS,204492,205089,597,+,RNase HII,b0183,57.286432160804026,AAC73294.1
CDS,205125,208608,3483,+,DNA polymerase III subunit alpha,b0184,54.9526270456503,AAC73295.1
CDS,208620,209580,960,+,acetyl-CoA carboxyltransferase subunit alpha,b0185,52.29166666666667,AAC73296.1
CDS,209678,211820,2142,+,lysine decarboxylase 2,b0186,50.887021475256766,AAC73297.1
CDS,211876,212266,390,+,VOC domain-containing protein YaeR,b0187,50.51282051282051,AAC73298.2
CDS,212330,213629,1299,+,tRNA(Ile)-lysidine synthetase,b0188,58.04464973056197,AAC73299.1
CDS,213677,213932,255,-,modulator of Rho-dependent transcription termination,b0189,47.84313725490196,AAC73300.2
CDS,213924,214125,201,-,PF06786 family protein YaeP,b4406,50.74626865671642,AAT48124.1
CDS,214290,214836,546,+,uncharacterized protein YaeQ,b0190,52.38095238095239,AAC73301.1
CDS,214832,215255,423,+,"peptidyl-tRNA hydrolase, ribosome rescue factor",b0191,54.1371158392435,AAC73302.1
CDS,215268,215979,711,+,sensor lipoprotein NlpE,b0192,52.320675105485236,AAC73303.1
CDS,216178,217003,825,-,peptidase C92 family protein YaeF,b0193,49.333333333333336,AAC73304.2
CDS,217056,218775,1719,-,proline--tRNA ligase,b0194,54.50843513670739,AAC73305.1
CDS,218886,219594,708,-,tRNA m(6)t(6)A37 methyltransferase,b0195,55.225988700564976,AAC73306.1
CDS,219590,219995,405,-,sensor lipoprotein RcsF,b0196,53.333333333333336,AAC73307.1
CDS,220112,220928,816,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,b0197,49.1421568627451,AAC73308.1
CDS,220967,221621,654,-,L-methionine/D-methionine ABC transporter membrane subunit,b0198,52.293577981651374,AAC73309.1
CDS,221613,222645,1032,-,L-methionine/D-methionine ABC transporter ATP binding subunit,b0199,52.90697674418605,AAC73310.1
CDS,222832,223408,576,+,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",b0200,50.173611111111114,AAC73311.1
CDS,229166,229970,804,+,methylglyoxal reductase DkgB,b0207,46.26865671641791,AAC73312.1
CDS,229966,230881,915,-,DNA-binding transcriptional regulator YafC,b0208,49.61748633879781,AAC73313.1
CDS,231121,231922,801,+,endonuclease/exonuclease/phosphatase domain-containing protein YafD,b0209,52.68414481897628,AAC73314.1
CDS,231925,232549,624,+,putative S-adenosylmethionine-dependent methyltransferase,b0210,49.03846153846153,AAC73315.1
CDS,232596,233955,1359,-,membrane-bound lytic murein transglycosylase D,b0211,51.94996320824136,AAC73316.1
CDS,234026,234782,756,-,hydroxyacylglutathione hydrolase GloB,b0212,40.21164021164021,AAC73317.1
CDS,234287,234320,33,+,protein YkfO,b4815,39.39393939393939,UMR55111.1
CDS,234815,235538,723,+,putative S-adenosyl-L-methionine-dependent methyltransferase,b0213,49.37759336099585,AAC73318.2
CDS,235534,236002,468,-,ribonuclease HI,b0214,50.427350427350426,AAC73319.1
CDS,236066,236798,732,+,DNA polymerase III subunit epsilon,b0215,50.13661202185792,AAC73320.1
CDS,237334,238120,786,+,lipoprotein YafT,b0217,42.74809160305343,AAC73321.1
CDS,238256,238736,480,-,uncharacterized protein YkfM,b4586,30.625000000000004,ABP93434.1
CDS,239418,240189,771,-,2-oxoglutaramate amidase,b0219,54.73411154345007,AAC73323.1
CDS,240342,240816,474,+,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",b0220,50.0,AAC73324.1
CDS,240858,243303,2445,-,acyl-CoA dehydrogenase,b0221,56.89161554192229,AAC73325.2
CDS,243542,244121,579,+,D-sedoheptulose 7-phosphate isomerase,b0222,50.94991364421416,AAC73326.1
CDS,244326,245094,768,+,putative glutamine amidotransferase YafJ,b0223,53.645833333333336,AAC73327.1
CDS,245064,245805,741,-,peptidoglycan meso-diaminopimelic acid protein amidase A,b0224,48.44804318488529,AAC73328.1
CDS,245960,246239,279,-,ribosome-dependent mRNA interferase toxin YafQ,b0225,39.42652329749104,AAC73329.1
CDS,246241,246502,261,-,antitoxin/DNA-binding transcriptional repressor DinJ,b0226,46.74329501915709,AAC73330.1
CDS,246711,247461,750,+,NlpC/P60 family protein YafL,b0227,52.400000000000006,AAC73331.1
CDS,247636,248134,498,+,REP-associated tyrosine transposase,b0228,44.77911646586345,AAC73332.1
CDS,250897,251953,1056,+,DNA polymerase IV,b0231,54.166666666666664,AAC73335.1
CDS,252004,252298,294,+,antitoxin YafN,b0232,42.17687074829932,AAC73336.1
CDS,252300,252699,399,+,ribosome-dependent mRNA interferase toxin YafO,b0233,43.609022556390975,AAC73337.1
CDS,252708,253161,453,+,putative N-acetyltransferase YafP,b0234,43.26710816777042,AAC73338.1
CDS,254258,255716,1458,-,peptidase D,b0237,51.371742112482856,AAC73341.1
CDS,255976,256435,459,+,xanthine-guanine phsophoribosyltransferase,b0238,51.85185185185185,AAC73342.1
CDS,256526,257771,1245,+,fermentation-respiration switch protein,b0239,53.65461847389559,AAC73343.1
CDS,257828,259006,1178,+,RNA polymerase holoenzyme assembly factor Crl,b0240,50.49751243781094,NA
CDS,257922,258426,504,-,IS1 transposase B,b4710,54.563492063492056,AYC08167.1
CDS,258344,258620,276,-,IS1 repressor TnpA,b4709,52.89855072463768,AYC08168.1
CDS,259044,260100,1056,-,outer membrane porin PhoE,b0241,44.696969696969695,AAC73345.1
CDS,260387,261491,1104,+,glutamate 5-kinase,b0242,56.25,AAC73346.1
CDS,261502,262756,1254,+,glutamate-5-semialdehyde dehydrogenase,b0243,54.30622009569378,AAC73347.1
CDS,263327,263669,342,-,toxin of the YkfI-YafW toxin-antitoxin system,b0245,51.16959064327485,AAC73348.1
CDS,263689,264007,318,-,antitoxin of the YkfI-YafW toxin-antitoxin pair,b0246,56.91823899371069,AAC73349.1
CDS,264025,264247,222,-,DUF987 domain-containing protein YkfH,b4504,55.85585585585585,ABD18634.1
CDS,264255,264732,477,-,RadC-like JAB domain-containing protein YkfG,b0247,58.490566037735846,AAC73350.1
CDS,264747,265206,459,-,protein YafX,b0248,55.55555555555556,AAC73351.1
CDS,265303,265543,240,-,protein YkfF,b0249,58.75,AAC73352.1
CDS,265619,266087,468,-,protein YkfB,b0250,52.56410256410257,AAC73353.1
CDS,266109,266553,444,-,inner membrane lipoprotein YafY,b0251,50.67567567567568,AAC73354.2
CDS,267183,268005,822,-,DUF932 domain-containing protein YafZ,b0252,57.785888077858885,AAC73355.2
CDS,268096,268960,864,-,putative GTP-binding protein YkfA,b0253,56.82870370370371,AAC73356.2
CDS,269288,270182,894,-,putative transcriptional regulator PerR,b0254,47.98657718120805,AAC73357.1
CDS,270277,272190,1913,+,CP4-6 prophage; IS911A regulator fragment,b4587,51.59420289855072,NA
CDS,270602,271754,1152,+,IS30 transposase,b0256,45.83333333333333,AAC73359.1
CDS,272846,273992,1146,+,PF00078 domain-containing protein YkfC,b0258,54.53752181500873,AYC08169.1
CDS,274100,275081,981,-,IS5 transposase and trans-activator,b0259,55.04587155963303,AAC73362.2
CDS,275324,276728,1404,+,S-methyl-L-methionine transporter,b0260,54.84330484330484,AAC73363.2
CDS,276714,277647,933,+,homocysteine S-methyltransferase,b0261,60.342979635584136,AAC73364.1
CDS,277755,278802,1047,-,ABC transporter ATP-binding protein AfuC,b0262,56.35148042024832,AAC73365.2
CDS,279177,279681,504,-,IS1 protein InsB,b0264,55.158730158730165,AAC73367.1
CDS,279599,279875,276,-,IS1 protein InsA,b0265,53.2608695652174,AAC73368.1
CDS,280384,280735,351,-,orphan antitoxin YagB,b0266,50.997150997150996,AYC08170.1
CDS,280828,281983,1155,-,integrase core domain-containing protein YagA,b0267,62.077922077922075,AAC73370.1
CDS,282277,283186,909,+,2-dehydro-3-deoxygluconate aldolase,b0268,61.606160616061615,AAC73371.2
CDS,283200,285168,1968,+,D-xylonate dehydratase,b0269,66.71747967479675,AAC73372.1
CDS,285394,286777,1383,+,putative D-xylonate transporter YagG,b0270,62.47288503253796,AAC73373.1
CDS,286788,288399,1611,+,putative xylosidase/arabinosidase,b0271,64.3699565487275,AAC73374.1
CDS,288403,289162,759,-,DNA-binding transcriptional repressor XynR,b0272,63.24110671936759,AAC73375.1
CDS,289300,290305,1005,-,ornithine carbamoyltransferase ArgF,b0273,58.805970149253724,AAC73376.1
CDS,290274,290370,96,-,putative translational regulatory protein ArgL,b4766,30.208333333333332,QNV50519.1
CDS,290509,290638,129,+,protein YkgS,b4688,42.63565891472868,AYC08171.1
CDS,290648,291152,504,-,IS1 protein InsB,b0274,55.158730158730165,AAC73377.1
CDS,291070,291346,276,-,IS1 protein InsA,b0275,53.2608695652174,AAC73378.1
